problem,n,m,direction,linesearch,start,iters,nfev,ngev,reason
BK1,2,2,sd,qwolfe,1,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,1,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,2,500,56463,37456,maxIter
BK1,2,2,sd,dwolfe,2,500,54810,35803,maxIter
BK1,2,2,sd,qwolfe,3,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,3,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,4,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,4,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,5,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,5,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,6,500,56463,37456,maxIter
BK1,2,2,sd,dwolfe,6,500,54810,35803,maxIter
BK1,2,2,sd,qwolfe,7,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,7,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,8,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,8,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,9,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,9,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,10,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,10,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,11,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,11,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,12,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,12,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,13,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,13,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,14,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,14,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,15,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,15,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,16,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,16,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,17,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,17,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,18,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,18,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,19,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,19,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,20,500,56349,37380,maxIter
BK1,2,2,sd,dwolfe,20,500,54696,35727,maxIter
BK1,2,2,sd,qwolfe,21,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,21,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,22,500,56760,37772,maxIter
BK1,2,2,sd,dwolfe,22,500,55188,36202,maxIter
BK1,2,2,sd,qwolfe,23,500,56769,37780,maxIter
BK1,2,2,sd,dwolfe,23,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,24,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,24,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,25,500,9918,5088,maxIter
BK1,2,2,sd,dwolfe,25,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,26,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,26,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,27,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,27,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,28,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,28,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,29,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,29,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,30,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,30,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,31,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,31,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,32,500,56649,37699,maxIter
BK1,2,2,sd,dwolfe,32,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,33,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,33,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,34,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,34,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,35,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,35,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,36,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,36,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,37,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,37,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,38,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,38,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,39,500,56763,37775,maxIter
BK1,2,2,sd,dwolfe,39,500,55248,36221,maxIter
BK1,2,2,sd,qwolfe,40,500,56769,37780,maxIter
BK1,2,2,sd,dwolfe,40,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,41,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,41,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,42,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,42,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,43,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,43,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,44,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,44,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,45,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,45,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,46,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,46,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,47,500,56883,37856,maxIter
BK1,2,2,sd,dwolfe,47,500,55248,36221,maxIter
BK1,2,2,sd,qwolfe,48,500,56463,37456,maxIter
BK1,2,2,sd,dwolfe,48,500,54810,35803,maxIter
BK1,2,2,sd,qwolfe,49,500,56769,37780,maxIter
BK1,2,2,sd,dwolfe,49,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,50,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,50,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,51,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,51,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,52,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,52,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,53,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,53,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,54,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,54,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,55,500,12393,5799,maxIter
BK1,2,2,sd,dwolfe,55,500,55410,36392,maxIter
BK1,2,2,sd,qwolfe,56,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,56,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,57,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,57,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,58,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,58,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,59,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,59,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,60,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,60,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,61,500,56463,37456,maxIter
BK1,2,2,sd,dwolfe,61,500,54810,35803,maxIter
BK1,2,2,sd,qwolfe,62,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,62,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,63,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,63,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,64,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,64,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,65,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,65,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,66,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,66,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,67,500,56649,37699,maxIter
BK1,2,2,sd,dwolfe,67,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,68,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,68,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,69,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,69,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,70,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,70,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,71,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,71,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,72,500,56649,37699,maxIter
BK1,2,2,sd,dwolfe,72,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,73,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,73,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,74,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,74,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,75,500,56649,37699,maxIter
BK1,2,2,sd,dwolfe,75,500,55134,36145,maxIter
BK1,2,2,sd,qwolfe,76,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,76,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,77,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,77,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,78,500,56931,37907,maxIter
BK1,2,2,sd,dwolfe,78,500,55302,36278,maxIter
BK1,2,2,sd,qwolfe,79,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,79,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,80,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,80,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,81,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,81,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,82,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,82,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,83,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,83,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,84,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,84,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,85,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,85,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,86,500,56982,37961,maxIter
BK1,2,2,sd,dwolfe,86,500,55356,36335,maxIter
BK1,2,2,sd,qwolfe,87,500,56463,37456,maxIter
BK1,2,2,sd,dwolfe,87,500,54810,35803,maxIter
BK1,2,2,sd,qwolfe,88,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,88,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,89,500,56964,37949,maxIter
BK1,2,2,sd,dwolfe,89,500,55464,36449,maxIter
BK1,2,2,sd,qwolfe,90,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,90,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,91,500,56718,37726,maxIter
BK1,2,2,sd,dwolfe,91,500,55080,36088,maxIter
BK1,2,2,sd,qwolfe,92,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,92,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,93,500,56565,37564,maxIter
BK1,2,2,sd,dwolfe,93,500,54918,35917,maxIter
BK1,2,2,sd,qwolfe,94,500,56667,37672,maxIter
BK1,2,2,sd,dwolfe,94,500,55026,36031,maxIter
BK1,2,2,sd,qwolfe,95,500,56514,37510,maxIter
BK1,2,2,sd,dwolfe,95,500,54864,35860,maxIter
BK1,2,2,sd,qwolfe,96,500,56616,37618,maxIter
BK1,2,2,sd,dwolfe,96,500,54972,35974,maxIter
BK1,2,2,sd,qwolfe,97,500,56817,37831,maxIter
BK1,2,2,sd,dwolfe,97,500,55188,36202,maxIter
BK1,2,2,sd,qwolfe,98,500,56931,37907,maxIter
BK1,2,2,sd,dwolfe,98,500,55302,36278,maxIter
BK1,2,2,sd,qwolfe,99,500,56931,37907,maxIter
BK1,2,2,sd,dwolfe,99,500,55302,36278,maxIter
BK1,2,2,sd,qwolfe,100,500,56649,37699,maxIter
BK1,2,2,sd,dwolfe,100,500,55134,36145,maxIter
DGO1,1,2,sd,qwolfe,1,500,30003,12277,maxIter
DGO1,1,2,sd,dwolfe,1,500,30318,11277,maxIter
DGO1,1,2,sd,qwolfe,2,500,30975,12663,maxIter
DGO1,1,2,sd,dwolfe,2,500,30282,11330,maxIter
DGO1,1,2,sd,qwolfe,3,500,31107,12624,maxIter
DGO1,1,2,sd,dwolfe,3,500,30357,11350,maxIter
DGO1,1,2,sd,qwolfe,4,500,30720,12485,maxIter
DGO1,1,2,sd,dwolfe,4,500,30615,11426,maxIter
DGO1,1,2,sd,qwolfe,5,500,30291,12331,maxIter
DGO1,1,2,sd,dwolfe,5,500,30729,11425,maxIter
DGO1,1,2,sd,qwolfe,6,500,30456,12406,maxIter
DGO1,1,2,sd,dwolfe,6,500,30492,11382,maxIter
DGO1,1,2,sd,qwolfe,7,500,31002,12697,maxIter
DGO1,1,2,sd,dwolfe,7,500,30435,11377,maxIter
DGO1,1,2,sd,qwolfe,8,500,31092,12563,maxIter
DGO1,1,2,sd,dwolfe,8,500,30087,11206,maxIter
DGO1,1,2,sd,qwolfe,9,500,30627,12529,maxIter
DGO1,1,2,sd,dwolfe,9,500,30135,11305,maxIter
DGO1,1,2,sd,qwolfe,10,500,30711,12478,maxIter
DGO1,1,2,sd,dwolfe,10,500,30297,11299,maxIter
DGO1,1,2,sd,qwolfe,11,500,30885,12632,maxIter
DGO1,1,2,sd,dwolfe,11,500,30726,11503,maxIter
DGO1,1,2,sd,qwolfe,12,500,30360,12367,maxIter
DGO1,1,2,sd,dwolfe,12,500,30546,11393,maxIter
DGO1,1,2,sd,qwolfe,13,500,30651,12503,maxIter
DGO1,1,2,sd,dwolfe,13,500,29805,11195,maxIter
DGO1,1,2,sd,qwolfe,14,500,30813,12560,maxIter
DGO1,1,2,sd,dwolfe,14,500,30537,11466,maxIter
DGO1,1,2,sd,qwolfe,15,500,30708,12542,maxIter
DGO1,1,2,sd,dwolfe,15,500,30432,11383,maxIter
DGO1,1,2,sd,qwolfe,16,500,31326,12757,maxIter
DGO1,1,2,sd,dwolfe,16,500,30345,11343,maxIter
DGO1,1,2,sd,qwolfe,17,500,30831,12582,maxIter
DGO1,1,2,sd,dwolfe,17,500,30906,11463,maxIter
DGO1,1,2,sd,qwolfe,18,500,31086,12717,maxIter
DGO1,1,2,sd,dwolfe,18,500,30885,11510,maxIter
DGO1,1,2,sd,qwolfe,19,500,30324,12404,maxIter
DGO1,1,2,sd,dwolfe,19,500,30591,11428,maxIter
DGO1,1,2,sd,qwolfe,20,500,30558,12485,maxIter
DGO1,1,2,sd,dwolfe,20,500,30615,11380,maxIter
DGO1,1,2,sd,qwolfe,21,500,31092,12668,maxIter
DGO1,1,2,sd,dwolfe,21,500,30405,11400,maxIter
DGO1,1,2,sd,qwolfe,22,500,30354,12371,maxIter
DGO1,1,2,sd,dwolfe,22,500,30183,11291,maxIter
DGO1,1,2,sd,qwolfe,23,500,30381,12399,maxIter
DGO1,1,2,sd,dwolfe,23,500,30468,11365,maxIter
DGO1,1,2,sd,qwolfe,24,500,30795,12574,maxIter
DGO1,1,2,sd,dwolfe,24,500,30519,11364,maxIter
DGO1,1,2,sd,qwolfe,25,500,30954,12549,maxIter
DGO1,1,2,sd,dwolfe,25,500,29949,11199,maxIter
DGO1,1,2,sd,qwolfe,26,500,30636,12488,maxIter
DGO1,1,2,sd,dwolfe,26,500,30360,11374,maxIter
DGO1,1,2,sd,qwolfe,27,500,29997,12404,maxIter
DGO1,1,2,sd,dwolfe,27,500,30747,11460,maxIter
DGO1,1,2,sd,qwolfe,28,500,31131,12790,maxIter
DGO1,1,2,sd,dwolfe,28,500,30432,11402,maxIter
DGO1,1,2,sd,qwolfe,29,500,31191,12720,maxIter
DGO1,1,2,sd,dwolfe,29,500,30774,11476,maxIter
DGO1,1,2,sd,qwolfe,30,500,31182,12697,maxIter
DGO1,1,2,sd,dwolfe,30,500,30600,11401,maxIter
DGO1,1,2,sd,qwolfe,31,500,31200,12726,maxIter
DGO1,1,2,sd,dwolfe,31,500,30531,11389,maxIter
DGO1,1,2,sd,qwolfe,32,500,31647,12907,maxIter
DGO1,1,2,sd,dwolfe,32,500,30603,11422,maxIter
DGO1,1,2,sd,qwolfe,33,500,30987,12571,maxIter
DGO1,1,2,sd,dwolfe,33,500,30432,11412,maxIter
DGO1,1,2,sd,qwolfe,34,500,30867,12589,maxIter
DGO1,1,2,sd,dwolfe,34,500,30837,11486,maxIter
DGO1,1,2,sd,qwolfe,35,500,31059,12664,maxIter
DGO1,1,2,sd,dwolfe,35,500,30456,11390,maxIter
DGO1,1,2,sd,qwolfe,36,500,32022,12983,maxIter
DGO1,1,2,sd,dwolfe,36,500,30291,11298,maxIter
DGO1,1,2,sd,qwolfe,37,500,30717,12562,maxIter
DGO1,1,2,sd,dwolfe,37,500,29940,11213,maxIter
DGO1,1,2,sd,qwolfe,38,500,31845,13008,maxIter
DGO1,1,2,sd,dwolfe,38,500,30711,11378,maxIter
DGO1,1,2,sd,qwolfe,39,500,31524,12865,maxIter
DGO1,1,2,sd,dwolfe,39,500,30813,11513,maxIter
DGO1,1,2,sd,qwolfe,40,500,31017,12622,maxIter
DGO1,1,2,sd,dwolfe,40,500,30558,11438,maxIter
DGO1,1,2,sd,qwolfe,41,500,30057,12257,maxIter
DGO1,1,2,sd,dwolfe,41,500,30219,11332,maxIter
DGO1,1,2,sd,qwolfe,42,500,31131,12671,maxIter
DGO1,1,2,sd,dwolfe,42,500,30951,11501,maxIter
DGO1,1,2,sd,qwolfe,43,500,31113,12725,maxIter
DGO1,1,2,sd,dwolfe,43,500,30987,11473,maxIter
DGO1,1,2,sd,qwolfe,44,500,30606,12449,maxIter
DGO1,1,2,sd,dwolfe,44,500,30864,11486,maxIter
DGO1,1,2,sd,qwolfe,45,500,30468,12365,maxIter
DGO1,1,2,sd,dwolfe,45,500,30681,11432,maxIter
DGO1,1,2,sd,qwolfe,46,500,30504,12474,maxIter
DGO1,1,2,sd,dwolfe,46,500,30480,11370,maxIter
DGO1,1,2,sd,qwolfe,47,500,30999,12659,maxIter
DGO1,1,2,sd,dwolfe,47,500,30279,11291,maxIter
DGO1,1,2,sd,qwolfe,48,500,30738,12540,maxIter
DGO1,1,2,sd,dwolfe,48,500,30561,11417,maxIter
DGO1,1,2,sd,qwolfe,49,500,30840,12587,maxIter
DGO1,1,2,sd,dwolfe,49,500,30483,11368,maxIter
DGO1,1,2,sd,qwolfe,50,500,30771,12581,maxIter
DGO1,1,2,sd,dwolfe,50,500,30594,11425,maxIter
DGO1,1,2,sd,qwolfe,51,500,30447,12469,maxIter
DGO1,1,2,sd,dwolfe,51,500,30483,11363,maxIter
DGO1,1,2,sd,qwolfe,52,500,30429,12411,maxIter
DGO1,1,2,sd,dwolfe,52,500,30372,11401,maxIter
DGO1,1,2,sd,qwolfe,53,500,30948,12606,maxIter
DGO1,1,2,sd,dwolfe,53,500,30462,11393,maxIter
DGO1,1,2,sd,qwolfe,54,500,30171,12326,maxIter
DGO1,1,2,sd,dwolfe,54,500,30045,11239,maxIter
