problem,n,m,direction,linesearch,start,iterations,nfev,ngev,cpu_time_sec,success,reason
BK1,2,2,sd,qwolfe,1,500,56667,37672,0.3820732,1,maxIter
BK1,2,2,sd,dwolfe,1,500,55026,36031,0.34452,1,maxIter
BK1,2,2,sd,qwolfe,2,500,56463,37456,0.3803112,1,maxIter
BK1,2,2,sd,dwolfe,2,500,54810,35803,0.3407357,1,maxIter
BK1,2,2,sd,qwolfe,3,500,56616,37618,0.3838026,1,maxIter
BK1,2,2,sd,dwolfe,3,500,54972,35974,0.3431665,1,maxIter
BK1,2,2,sd,qwolfe,4,500,56718,37726,0.3791529,1,maxIter
BK1,2,2,sd,dwolfe,4,500,55080,36088,0.3397074,1,maxIter
BK1,2,2,sd,qwolfe,5,500,56616,37618,0.3795383,1,maxIter
BK1,2,2,sd,dwolfe,5,500,54972,35974,0.3485313,1,maxIter
BK1,2,2,sd,qwolfe,6,500,56463,37456,0.3808561,1,maxIter
BK1,2,2,sd,dwolfe,6,500,54810,35803,0.3472566,1,maxIter
BK1,2,2,sd,qwolfe,7,500,56616,37618,0.3737458,1,maxIter
BK1,2,2,sd,dwolfe,7,500,54972,35974,0.3445358,1,maxIter
BK1,2,2,sd,qwolfe,8,500,56514,37510,0.3784311,1,maxIter
BK1,2,2,sd,dwolfe,8,500,54864,35860,0.3403487,1,maxIter
BK1,2,2,sd,qwolfe,9,500,56616,37618,0.380555,1,maxIter
BK1,2,2,sd,dwolfe,9,500,54972,35974,0.3450754,1,maxIter
BK1,2,2,sd,qwolfe,10,500,56616,37618,0.3796939,1,maxIter
BK1,2,2,sd,dwolfe,10,500,54972,35974,0.3427642,1,maxIter
BK1,2,2,sd,qwolfe,11,500,56565,37564,0.3812766,1,maxIter
BK1,2,2,sd,dwolfe,11,500,54918,35917,0.3388042,1,maxIter
BK1,2,2,sd,qwolfe,12,500,56616,37618,0.3930189,1,maxIter
BK1,2,2,sd,dwolfe,12,500,54972,35974,0.3492025,1,maxIter
BK1,2,2,sd,qwolfe,13,500,56982,37961,0.3821902,1,maxIter
BK1,2,2,sd,dwolfe,13,500,55356,36335,0.3514961,1,maxIter
BK1,2,2,sd,qwolfe,14,500,56667,37672,0.4184954,1,maxIter
BK1,2,2,sd,dwolfe,14,500,55026,36031,0.3537845,1,maxIter
BK1,2,2,sd,qwolfe,15,500,56616,37618,0.3900619,1,maxIter
BK1,2,2,sd,dwolfe,15,500,54972,35974,0.3655056,1,maxIter
BK1,2,2,sd,qwolfe,16,500,56565,37564,0.3886468,1,maxIter
BK1,2,2,sd,dwolfe,16,500,54918,35917,0.3486776,1,maxIter
BK1,2,2,sd,qwolfe,17,500,56616,37618,0.3810124,1,maxIter
BK1,2,2,sd,dwolfe,17,500,54972,35974,0.35188,1,maxIter
BK1,2,2,sd,qwolfe,18,500,56514,37510,0.3824047,1,maxIter
BK1,2,2,sd,dwolfe,18,500,54864,35860,0.3463882,1,maxIter
BK1,2,2,sd,qwolfe,19,500,56616,37618,0.4280886,1,maxIter
BK1,2,2,sd,dwolfe,19,500,54972,35974,0.3571171,1,maxIter
BK1,2,2,sd,qwolfe,20,500,56349,37380,0.388683,1,maxIter
BK1,2,2,sd,dwolfe,20,500,54696,35727,0.3543559,1,maxIter
BK1,2,2,sd,qwolfe,21,500,56982,37961,0.3902691,1,maxIter
BK1,2,2,sd,dwolfe,21,500,55356,36335,0.3542704,1,maxIter
BK1,2,2,sd,qwolfe,22,500,56760,37772,0.3870889,1,maxIter
BK1,2,2,sd,dwolfe,22,500,55188,36202,0.3481956,1,maxIter
BK1,2,2,sd,qwolfe,23,500,56769,37780,0.3885017,1,maxIter
BK1,2,2,sd,dwolfe,23,500,55134,36145,0.3547077,1,maxIter
BK1,2,2,sd,qwolfe,24,500,56718,37726,0.3894793,1,maxIter
BK1,2,2,sd,dwolfe,24,500,55080,36088,0.3497335,1,maxIter
BK1,2,2,sd,qwolfe,25,500,9918,5088,0.2111403,1,maxIter
BK1,2,2,sd,dwolfe,25,500,55356,36335,0.3557281,1,maxIter
BK1,2,2,sd,qwolfe,26,500,56616,37618,0.3863263,1,maxIter
BK1,2,2,sd,dwolfe,26,500,54972,35974,0.3448754,1,maxIter
BK1,2,2,sd,qwolfe,27,500,56616,37618,0.379403,1,maxIter
BK1,2,2,sd,dwolfe,27,500,54972,35974,0.3460614,1,maxIter
BK1,2,2,sd,qwolfe,28,500,56667,37672,0.3768454,1,maxIter
BK1,2,2,sd,dwolfe,28,500,55026,36031,0.3618153,1,maxIter
BK1,2,2,sd,qwolfe,29,500,56565,37564,0.3877126,1,maxIter
BK1,2,2,sd,dwolfe,29,500,54918,35917,0.3492919,1,maxIter
BK1,2,2,sd,qwolfe,30,500,56667,37672,0.3896037,1,maxIter
BK1,2,2,sd,dwolfe,30,500,55026,36031,0.3761904,1,maxIter
BK1,2,2,sd,qwolfe,31,500,56565,37564,0.4104488,1,maxIter
BK1,2,2,sd,dwolfe,31,500,54918,35917,0.3870686,1,maxIter
BK1,2,2,sd,qwolfe,32,500,56649,37699,0.4110344,1,maxIter
BK1,2,2,sd,dwolfe,32,500,55134,36145,0.3780725,1,maxIter
BK1,2,2,sd,qwolfe,33,500,56616,37618,0.3918988,1,maxIter
BK1,2,2,sd,dwolfe,33,500,54972,35974,0.3470605,1,maxIter
BK1,2,2,sd,qwolfe,34,500,56667,37672,0.3896143,1,maxIter
BK1,2,2,sd,dwolfe,34,500,55026,36031,0.3493566,1,maxIter
BK1,2,2,sd,qwolfe,35,500,56718,37726,0.3872045,1,maxIter
BK1,2,2,sd,dwolfe,35,500,55080,36088,0.3552895,1,maxIter
BK1,2,2,sd,qwolfe,36,500,56565,37564,0.3878907,1,maxIter
BK1,2,2,sd,dwolfe,36,500,54918,35917,0.3521144,1,maxIter
BK1,2,2,sd,qwolfe,37,500,56565,37564,0.3909792,1,maxIter
BK1,2,2,sd,dwolfe,37,500,54918,35917,0.3516168,1,maxIter
BK1,2,2,sd,qwolfe,38,500,56565,37564,0.3938373,1,maxIter
BK1,2,2,sd,dwolfe,38,500,54918,35917,0.3508822,1,maxIter
BK1,2,2,sd,qwolfe,39,500,56763,37775,0.3951327,1,maxIter
BK1,2,2,sd,dwolfe,39,500,55248,36221,0.3580519,1,maxIter
BK1,2,2,sd,qwolfe,40,500,56769,37780,0.3856983,1,maxIter
BK1,2,2,sd,dwolfe,40,500,55134,36145,0.3468722,1,maxIter
BK1,2,2,sd,qwolfe,41,500,56616,37618,0.3814607,1,maxIter
BK1,2,2,sd,dwolfe,41,500,54972,35974,0.3467282,1,maxIter
BK1,2,2,sd,qwolfe,42,500,56982,37961,0.3822462,1,maxIter
BK1,2,2,sd,dwolfe,42,500,55356,36335,0.3506698,1,maxIter
BK1,2,2,sd,qwolfe,43,500,56565,37564,0.3874992,1,maxIter
BK1,2,2,sd,dwolfe,43,500,54918,35917,0.3504848,1,maxIter
BK1,2,2,sd,qwolfe,44,500,56982,37961,0.3848517,1,maxIter
BK1,2,2,sd,dwolfe,44,500,55356,36335,0.3545308,1,maxIter
BK1,2,2,sd,qwolfe,45,500,56718,37726,0.3838539,1,maxIter
BK1,2,2,sd,dwolfe,45,500,55080,36088,0.3637151,1,maxIter
BK1,2,2,sd,qwolfe,46,500,56616,37618,0.3900873,1,maxIter
BK1,2,2,sd,dwolfe,46,500,54972,35974,0.3503465,1,maxIter
BK1,2,2,sd,qwolfe,47,500,56883,37856,0.3890009,1,maxIter
BK1,2,2,sd,dwolfe,47,500,55248,36221,0.3528981,1,maxIter
BK1,2,2,sd,qwolfe,48,500,56463,37456,0.3898722,1,maxIter
BK1,2,2,sd,dwolfe,48,500,54810,35803,0.3514021,1,maxIter
BK1,2,2,sd,qwolfe,49,500,56769,37780,0.3844492,1,maxIter
BK1,2,2,sd,dwolfe,49,500,55134,36145,0.3546186,1,maxIter
BK1,2,2,sd,qwolfe,50,500,56565,37564,0.3877731,1,maxIter
BK1,2,2,sd,dwolfe,50,500,54918,35917,0.3471835,1,maxIter
BK1,2,2,sd,qwolfe,51,500,56514,37510,0.3835503,1,maxIter
BK1,2,2,sd,dwolfe,51,500,54864,35860,0.3471492,1,maxIter
BK1,2,2,sd,qwolfe,52,500,56718,37726,0.3876281,1,maxIter
BK1,2,2,sd,dwolfe,52,500,55080,36088,0.3560964,1,maxIter
BK1,2,2,sd,qwolfe,53,500,56616,37618,0.3962616,1,maxIter
