pid=1 (P1), run=1, iters=0, reason=small_direction
pid=1 (P1), run=2, iters=2, reason=small_step
pid=1 (P1), run=3, iters=1, reason=small_step
pid=1 (P1), run=4, iters=2, reason=small_step
pid=1 (P1), run=5, iters=0, reason=small_direction
pid=2 (P2), run=1, iters=1, reason=small_step
pid=2 (P2), run=2, iters=1, reason=small_step
pid=2 (P2), run=3, iters=2, reason=small_step
pid=2 (P2), run=4, iters=1, reason=small_step
pid=2 (P2), run=5, iters=1, reason=small_step
pid=5 (P5), run=1, iters=5, reason=small_step
pid=5 (P5), run=2, iters=1, reason=small_step
pid=5 (P5), run=3, iters=9, reason=small_step
pid=5 (P5), run=4, iters=11, reason=small_step
pid=5 (P5), run=5, iters=3, reason=small_step
pid=6 (P6), run=1, iters=3, reason=small_step
pid=6 (P6), run=2, iters=3, reason=small_step
pid=6 (P6), run=3, iters=2, reason=small_step
pid=6 (P6), run=4, iters=3, reason=small_step
pid=6 (P6), run=5, iters=3, reason=small_step
pid=10 (P10), run=1, iters=2, reason=small_step
pid=10 (P10), run=2, iters=2, reason=small_step
pid=10 (P10), run=3, iters=13, reason=small_step
pid=10 (P10), run=4, iters=5, reason=small_step
pid=10 (P10), run=5, iters=2, reason=small_step
Summary (hypervolume over self-set):
pid=1 (P1): hv=0.4869, purity=1, gamma-delta=14.26, runs=5
pid=2 (P2): hv=0.2334, purity=1, gamma-delta=8.406, runs=5
pid=5 (P5): hv=0.5111, purity=1, gamma-delta=0.6179, runs=5
pid=6 (P6): hv=0.2708, purity=1, gamma-delta=0.03246, runs=5
pid=10 (P10): hv=0.3954, purity=1, gamma-delta=4.916, runs=5
