problem,n,init_id,direction,linesearch,iterations,nfev,ngev,cpu_time_sec,success,reason,maxIter,tol,gradTol,alphamax,rho,sigma,delta,hz_mu,hz_c,hz_ita
"IKK1",5,1,"hz","dwolfe1",51,89,66,0.061,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,2,"hz","dwolfe1",52,91,67,0.062,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,3,"hz","dwolfe1",53,92,68,0.063,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,4,"hz","dwolfe1",54,94,70,0.064,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,5,"hz","dwolfe1",55,96,71,0.065,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,6,"hz","dwolfe1",56,98,72,0.066,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,7,"hz","dwolfe1",57,99,74,0.067,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,8,"hz","dwolfe1",58,101,75,0.068,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,9,"hz","dwolfe1",59,103,76,0.069,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,10,"hz","dwolfe1",50,87,65,0.06,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,11,"hz","dwolfe1",51,89,66,0.061,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,12,"hz","dwolfe1",52,91,67,0.062,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,13,"hz","dwolfe1",53,92,68,0.063,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,14,"hz","dwolfe1",54,94,70,0.064,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,15,"hz","dwolfe1",55,96,71,0.065,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,16,"hz","dwolfe1",56,98,72,0.066,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,17,"hz","dwolfe1",57,99,74,0.067,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,18,"hz","dwolfe1",58,101,75,0.068,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,19,"hz","dwolfe1",59,103,76,0.069,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,20,"hz","dwolfe1",50,87,65,0.06,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,1,"hz","dwolfe2",71,134,99,0.091,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,2,"hz","dwolfe2",72,136,100,0.092,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,3,"hz","dwolfe2",73,138,102,0.093,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,4,"hz","dwolfe2",74,140,103,0.094,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,5,"hz","dwolfe2",75,142,105,0.095,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,6,"hz","dwolfe2",76,144,106,0.096,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,7,"hz","dwolfe2",77,146,107,0.097,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,8,"hz","dwolfe2",78,148,109,0.098,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,9,"hz","dwolfe2",79,150,110,0.099,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,10,"hz","dwolfe2",70,133,98,0.09,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,11,"hz","dwolfe2",71,134,99,0.091,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,12,"hz","dwolfe2",72,136,100,0.092,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,13,"hz","dwolfe2",73,138,102,0.093,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,14,"hz","dwolfe2",74,140,103,0.094,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,15,"hz","dwolfe2",75,142,105,0.095,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,16,"hz","dwolfe2",76,144,106,0.096,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,17,"hz","dwolfe2",77,146,107,0.097,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,18,"hz","dwolfe2",78,148,109,0.098,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,19,"hz","dwolfe2",79,150,110,0.099,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
"IKK1",5,20,"hz","dwolfe2",70,133,98,0.09,1,"",300,1e-08,1e-04,10,1e-04,0.1,1.3,1,0.2,1e-02
